              Species generation population Report
                       *   *   *   *   *                                  


| Species         | Habitat            | Growth rates                                                                   | Start Population | Final Population | Death    |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| Bacteria        | Petri Dish         |    120|    100|     90|    140|     70|     60|     80|     20|     10|      5 |               100|             13610|      8610|
| Bats            | Belfry             |     50|     18|     17|     15|     -5|     10|     -3|      6|     10|      8 |                10|                27|         0|
| Cats            | Abandoned House    |    200|    150|    100|    100|     80|     70|     60|     10|      5|      5 |                 6|              1066|         0|
| Deer            | Forest             |     80|     80|     70|    100|     80|     50|     60|     40|     20|     10 |                20|              1719|         0|
| Feral Pigs      | Plains             |    100|    100|    100|    120|    140|     90|     80|     70|    100|    100 |                 4|              3900|         0|
| Fish            | Pond               |    100|    100|     80|     70|     60|    100|     10|     20|      5|     85 |                 5|               493|         0|
| Mice            | Barn               |    200|    180|    190|    100|     50|     40|    -10|     20|    -20|      1 |                 4|               349|         0|
| Money           | Account            |      3|      3|      4|      4|      6|      7|     10|      2|      2|      1 |              1000|              1498|         0|
| Rabbits         | Farm               |    166|    150|    150|    130|    140|    100|    100|     80|     70|     90 |                24|             50277|     45277|
| Rats            | Shed               |    100|    150|    140|    120|     80|     70|     50|     40|     55|      8 |                 6|              1693|         0|
| Snakes          | Island             |     40|     42|     44|     17|     50|     60|     -8|     20|     30|     10 |                12|               136|         0|
| Stoats          | Forest             |     90|     80|     90|     75|     60|     15|     18|     18|     17|     15 |                10|               381|         0|
